i,is_skipped,mu,est_mu,p_loss,est_p_loss,e_b,est_e_b,e_gb,est_e_gb,delay,est_delay,jitter,est_jitter,beta,correlation
1,False,0.2,0.2029311048349028,0.0001,0.000104,2.5,3.0588235294117645,20,20.291,25,24.802419056005057,5,5.197580943994943,0.75987498749875,0.0207800503132906
2,False,0.2,0.2039581858115001,0.0001,0.000148,2.5,2.466666666666667,20,20.024351924587588,25,24.80316810291505,5,5.196831897084948,0.75987498749875,0.0247711344633607
3,False,0.2,0.1938797145280271,0.0001,0.000112,2.5,2.24,20,19.829991816693944,25,24.75615822510631,5,5.2438417748936885,0.75987498749875,0.0219388329801149
4,False,0.2,0.1965452268845035,0.0001,0.000108,2.5,2.571428571428572,20,19.93548387096774,25,24.7693360527319,5,5.2306639472680985,0.75987498749875,0.021434421708138
0,False,0.2,0.2008952859474509,0.0001,9.6e-05,2.5,2.4,20,19.936085748312824,25,24.74109291469269,10,10.25890708530731,0.75987498749875,0.0204127674334101
1,False,0.2,0.1970645240652621,0.0001,9.4e-05,2.5,2.764705882352941,20,19.89559773828756,25,24.690494560006936,10,10.309505439993064,0.75987498749875,0.0204004345973356
2,False,0.2,0.2016757307069951,0.0001,7.8e-05,2.5,2.0526315789473686,20,19.68566966028895,25,24.74442163577221,10,10.255578364227793,0.75987498749875,0.0183687887111161
3,False,0.2,0.2065941802878653,0.0001,8.8e-05,2.5,2.2,20,20.26446929566412,25,24.80108724623783,10,10.198912753762167,0.75987498749875,0.0192951020663831
4,False,0.2,0.2027678989330847,0.0001,0.000108,2.5,2.16,20,20.262442534479312,25,24.76018552671524,10,10.23981447328476,0.75987498749875,0.0215652026117191
0,False,0.2,0.2031223746849622,0.0001,0.00012,2.5,2.608695652173913,20,20.120665742024965,50,50.82165889476504,1,2.2240785789823363,0.75987498749875,0.0016348738292072
1,False,0.2,0.1979774422404947,0.0001,7.8e-05,2.5,1.95,20,19.73305422647528,50,50.80940258207761,1,2.236334891669763,0.75987498749875,0.0014126128270923
2,False,0.2,0.2037495224589314,0.0001,8.6e-05,2.5,2.8666666666666667,20,20.131620553359685,50,50.82182314874922,1,2.2239143249981552,0.75987498749875,0.001381217331244
3,False,0.2,0.199836389856171,0.0001,6.2e-05,2.5,1.7222222222222223,20,19.867170411612648,50,50.81052623551479,1,2.23521123823258,0.75987498749875,0.0012527653350753
4,False,0.2,0.1994687766261715,0.0001,4.4e-05,2.5,2.0,20,19.87049212990636,50,50.8066743839122,1,2.23906308983517,0.75987498749875,0.0010799040372579
0,False,0.2,0.2030578079309393,0.0001,6.8e-05,2.5,2.125,20,20.316589953972382,50,50.10405554727742,3,4.033156873964707,0.75987498749875,0.0123047936196643
1,False,0.2,0.2017349110343061,0.0001,6.4e-05,2.5,2.1333333333333333,20,20.09183266932271,50,50.09772267913739,3,4.039489742104735,0.75987498749875,0.0119840185725836
2,False,0.2,0.1972693870121869,0.0001,7.8e-05,2.5,2.6,20,19.940760210270927,50,50.07977354972634,3,4.057438871515785,0.75987498749875,0.013394743143133
3,False,0.2,0.201014101410141,0.0001,0.0001,2.5,2.631578947368421,20,20.27784503631961,50,50.0936477262566,3,4.043564694985527,0.75987498749875,0.0150540410674014
4,False,0.2,0.2016965391162075,0.0001,8.2e-05,2.5,2.9285714285714284,20,19.980186249256985,50,50.096689488925904,3,4.040522932316222,0.75987498749875,0.0135876411594206
0,False,0.2,0.2020897630015141,0.0001,7.8e-05,2.5,2.0526315789473686,20,20.183180183779463,50,49.96919323100492,5,5.25949413773197,0.75987498749875,0.0158761499302296
