no,seq,time_epoch,retransmission,out_of_order
19952,17548629,1716238938.734525000,,
19953,17549950,1716238938.734611000,,
19955,17551271,1716238938.734717000,,
19956,17552592,1716238938.734816000,,
19958,17553913,1716238938.734923000,,
19959,17555234,1716238938.735113000,,
19961,17556555,1716238938.735209000,,
19962,17557876,1716238938.735505000,,
19964,17559197,1716238938.735644000,,
19965,17560518,1716238938.736698000,,
19967,17561839,1716238938.736823000,,
19968,17563160,1716238938.737535000,,
19970,17564481,1716238938.737661000,,
19971,17565802,1716238938.742259000,,
19973,17567123,1716238938.744902000,,
19974,17568444,1716238938.744919000,,
19976,17569765,1716238938.745062000,,
19977,17571086,1716238938.745282000,,
19979,17572407,1716238938.745319000,,
19980,17573728,1716238938.745452000,,
19982,17575049,1716238938.745561000,,
19983,17576370,1716238938.746503000,,
19985,17577691,1716238938.746615000,,
19986,17579012,1716238938.747630000,,
19988,17580333,1716238938.747794000,,
19989,17581654,1716238938.747905000,,
19991,17582975,1716238938.747920000,,
19992,17584296,1716238938.748038000,,
19994,17585617,1716238938.748184000,,
19995,17586938,1716238938.748279000,,
19997,17588259,1716238938.748323000,,
19998,17589580,1716238938.748468000,,
20000,17590901,1716238938.748640000,,
20001,17592222,1716238938.748758000,,
20003,17593543,1716238938.748858000,,
20004,17594864,1716238938.751862000,,
20006,17596185,1716238938.751940000,,
20007,17597506,1716238938.754494000,,
20009,17598827,1716238938.755447000,,
20010,17600148,1716238938.755574000,,
20012,17601469,1716238938.755694000,,
20013,17602790,1716238938.755800000,,
20015,17604111,1716238938.755953000,,
20016,17605432,1716238938.756336000,,
20018,17606753,1716238938.756490000,,
20019,17608074,1716238938.757529000,,
20021,17609395,1716238938.757655000,,
20022,17610716,1716238938.757785000,,
20024,17612037,1716238938.757841000,,
20025,17613358,1716238938.757975000,,
20027,17614679,1716238938.758912000,,
20028,17616000,1716238938.759013000,,
20030,17617321,1716238938.759193000,,
20031,17618642,1716238938.759293000,,
20033,17619963,1716238938.759460000,,
20034,17621284,1716238938.759549000,,
20036,17622605,1716238938.759658000,,
20037,17623926,1716238938.759810000,,
20039,17625247,1716238938.760865000,,
20040,17626568,1716238938.760978000,,
20042,17627889,1716238938.764370000,,
20044,17630531,1716238938.765287000,,
20045,17631852,1716238938.765473000,,
20047,17633173,1716238938.765571000,,
20048,17634494,1716238938.765679000,,
20050,17635815,1716238938.766786000,,
20051,17637136,1716238938.766905000,,
20053,17638457,1716238938.767108000,,
20054,17639778,1716238938.767197000,,
20056,17641099,1716238938.767315000,,
20057,17642420,1716238938.767406000,,
20059,17643741,1716238938.767500000,,
20060,17645062,1716238938.770792000,,
20061,17646383,1716238938.770792000,,
20063,17647704,1716238938.770873000,,
20065,17649025,1716238938.771083000,,
20066,17650346,1716238938.771169000,,
20068,17651667,1716238938.771298000,,
20069,17652988,1716238938.771416000,,
20071,17654309,1716238938.771480000,,
20072,17655630,1716238938.771650000,,
20074,17656951,1716238938.772377000,,
20075,17658272,1716238938.772564000,,
20077,17659593,1716238938.773681000,,
20078,17660914,1716238938.773780000,,
20080,17662235,1716238938.774641000,,
20081,17663556,1716238938.776480000,,
20083,17664877,1716238938.776545000,,
20084,17666198,1716238938.776620000,,
20086,17667519,1716238938.776720000,,
20087,17668840,1716238938.776859000,,
20089,17670161,1716238938.776947000,,
20090,17671482,1716238938.777220000,,
20092,17672803,1716238938.777447000,,
20093,17674124,1716238938.777495000,,
20095,17675445,1716238938.777657000,,
20096,17676766,1716238938.779575000,,
20098,17678087,1716238938.781079000,,
20100,17682050,1716238938.781167000,,
20101,17683371,1716238938.781380000,,
20103,17684692,1716238938.781469000,,
20104,17686013,1716238938.781559000,,
20106,17687334,1716238938.781658000,,
20107,17688655,1716238938.781708000,,
20109,17689976,1716238938.782303000,,
20111,17692618,1716238938.783209000,,
20112,17693939,1716238938.783363000,,
20114,17695260,1716238938.785783000,,
20115,17696581,1716238938.785835000,,
20117,17697902,1716238938.787179000,,
20119,17700544,1716238938.787292000,,
20120,17701865,1716238938.787369000,,
20122,17703186,1716238938.787577000,,
20123,17704507,1716238938.787649000,,
20125,17705828,1716238938.787742000,,
20126,17707149,1716238938.787854000,,
20128,17708470,1716238938.789205000,,
20130,17711112,1716238938.791294000,,
20131,17715075,1716238938.791364000,,
20133,17716396,1716238938.791559000,,
20135,17719038,1716238938.791644000,,
20136,17720359,1716238938.793154000,,
20137,17724322,1716238938.793222000,,
20139,17725643,1716238938.793322000,,
20140,17726964,1716238938.793466000,,
20142,17728285,1716238938.796295000,,
20143,17730927,1716238938.796340000,,
20145,17732248,1716238938.796526000,,
